partner_id,name,type,address,phone,email,state,district,liaison_centers,note,source_url,last_verified,supported_schemes,routing_status,source,notes
mgb-aurangabad,Maharashtra Gramin Bank — Head Office & Chhatrapati Sambhajinagar,RRB,"Golibar Maidan, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra – 431001",0240-2345100,credit@mahagramin.co.in,Maharashtra,Chhatrapati Sambhajinagar,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha,available,,
ubi-mumbai-nariman,Union Bank of India — Nariman Point Main Branch,PSB,"Union Bank Bhavan, 239 Vidhan Bhavan Marg, Nariman Point, Mumbai – 400021",022-22892000,nariman@unionbankofindia.com,Maharashtra,Mumbai,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|mudra-kishore,available,,
sca-gujarat-gscdc,Gujarat Safai Kamdar Vikas Nigam / Gujarat Scheduled Castes Development Corporation,SCA,"Gandhinagar, Gujarat",,,Gujarat,Gandhinagar,,Full street address/contact not yet independently verified — verify directly before production use.,https://socialjustice.gov.in/writereaddata/Content/SNAPSHOT%20OF%20NSFDC%20ISSUES.pdf,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh,available,socialjustice.gov.in NSFDC issue-tracking presentation (active-state disbursement list),Full street address/contact not yet independently verified — verify directly before production use.
bggb-ahmedabad,Baroda Gujarat Gramin Bank (BGGB) — Head Office & Ahmedabad Hub,RRB,"Skyline Building, Ashram Road, Ahmedabad, Gujarat – 380009",079-26584210,credit@bggb.co.in,Gujarat,Ahmedabad,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sbi-ahmedabad-bhadra,"State Bank of India — Bhadra Main Branch, Ahmedabad",PSB,"Bhadra, Lal Darwaja, Ahmedabad, Gujarat – 380001",079-25507111,sbi.bhadra@sbi.co.in,Gujarat,Ahmedabad,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
bob-ahmedabad-ashram,Bank of Baroda — Zonal Office & Ashram Road Branch,PSB,"Bank of Baroda Towers, Law Garden, Ellisbridge, Ahmedabad – 380006",079-26473000,ashram@bankofbaroda.com,Gujarat,Ahmedabad,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|mudra-kishore,available,,
pnb-gandhinagar-sec11,"Punjab National Bank — Sector 11 Branch, Gandhinagar",PSB,"CH Road, Sector 11, Gandhinagar, Gujarat – 382011",079-23221045,bo4100@pnb.co.in,Gujarat,Gandhinagar,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy,available,,
sca-hp-hpscstdc,Himachal Pradesh Scheduled Castes & Scheduled Tribes Development Corporation (HPSCSTDC),SCA,"Shimla, Himachal Pradesh",,,Himachal Pradesh,Shimla,,This SCA also runs a state-topped-up variant (Ambedkar Laghu Rin Yojna) combining NSFDC MCF funds with a state capital subsidy — a good example of a state-specific scheme worth modeling separately if expanding coverage.,https://hpscstdc.hp.gov.in/scheme/micro-credit-finance,2026-09-08,nsfdc-mcf,available,HPSCSTDC official scheme page (state top-up scheme details),This SCA also runs a state-topped-up variant (Ambedkar Laghu Rin Yojna) combining NSFDC MCF funds with a state capital subsidy — a good example of a state-specific scheme worth modeling separately if expanding coverage.
hpgb-mandi-ho,Himachal Pradesh Gramin Bank (HPGB) — Head Office & Regional Center,RRB,"Jail Road, Mandi & Shimla Hub, Himachal Pradesh – 175001",01905-227500,hpgb.credit@hpgbank.co.in,Himachal Pradesh,Mandi,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sbi-shimla-mall,"State Bank of India — The Mall Main Branch, Shimla",PSB,"The Mall Road, Near Scandal Point, Shimla, Himachal Pradesh – 171001",0177-2652140,sbi.shimla@sbi.co.in,Himachal Pradesh,Shimla,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
pnb-shimla-ridge,"Punjab National Bank — The Ridge Branch, Shimla",PSB,"The Ridge, Near Christ Church, Shimla, Himachal Pradesh – 171001",0177-2658120,bo0450@pnb.co.in,Himachal Pradesh,Shimla,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy,available,,
uco-shimla-main,UCO Bank — Shimla Main Branch,PSB,"Cart Road, Shimla, Himachal Pradesh – 171001",0177-2651110,shimla@ucobank.co.in,Himachal Pradesh,Shimla,,,,2026-09-08,nsfdc-mcf|nsfdc-suvidha|pm-svanidhi,available,,
dsfdc-delhi-rohini,Delhi SC/ST/OBC Finance & Development Corporation (DSFDC),SCA,"Ambedkar Bhawan, Sector 16, Rohini, Delhi – 110089",011-27881234,dsfdc-delhi@nic.in,Delhi,North West Delhi,,,,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india,available,,
pnb-delhi-cp,"Punjab National Bank — Connaught Place, New Delhi",PSB,"7, Bhikaji Cama Place & Connaught Place, New Delhi – 110001",011-23411234,pnb.cp@pnb.co.in,Delhi,Central Delhi,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|nsfdc-els-abroad|mudra-kishore|stand-up-india,available,,
sbi-delhi-parliament,State Bank of India — Parliament Street Branch,PSB,"11, Parliament Street, New Delhi – 110001",011-23374100,sbi.parliament@sbi.co.in,Delhi,New Delhi,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
bob-delhi-nehruplace,Bank of Baroda — Nehru Place Commercial Branch,PSB,"Nehru Place Commercial Complex, New Delhi – 110019",011-26418800,nehruplace@bankofbaroda.com,Delhi,South Delhi,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|mudra-kishore,available,,
canara-delhi-chandni,Canara Bank — Chandni Chowk Branch,PSB,"Chandni Chowk Main Road, Old Delhi – 110006",011-23861200,cbchandni@canarabank.com,Delhi,North Delhi,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|pm-svanidhi|mudra-shishu,available,,
sca-wb-wbscstdfc,West Bengal SC ST Development & Finance Corporation (WBSCSTDFC),SCA,"CF-217/A/1, Sector-I, Salt Lake, Kolkata, West Bengal – 700064",033-23348123,wbscstdfc@wb.gov.in,West Bengal,Kolkata,,,,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india,available,,
bgvb-kolkata,Bangiya Gramin Vikash Bank — Salt Lake / Kolkata Hub,RRB,"BMC House, NH-34, Salt Lake, Kolkata, West Bengal – 700091",033-23214500,credit@bgvb.co.in,West Bengal,North 24 Parganas,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sbi-kolkata-strand,"State Bank of India — Samriddhi Bhavan Main Branch, Kolkata",PSB,"1, Strand Road, BBD Bagh, Kolkata, West Bengal – 700001",033-22481234,sbi.kolkatamain@sbi.co.in,West Bengal,Kolkata,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
pnb-kolkata-brabourne,"Punjab National Bank — Brabourne Road Branch, Kolkata",PSB,"Brabourne Road, Kolkata, West Bengal – 700001",033-22354120,bo0120@pnb.co.in,West Bengal,Kolkata,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|mudra-kishore,available,,
uco-kolkata-btm,UCO Bank — Head Office & BTM Sarani Branch,PSB,"10, BTM Sarani, Brabourne Road, Kolkata – 700001",033-44557970,btmsarani@ucobank.co.in,West Bengal,Kolkata,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha|pm-svanidhi,available,,
sca-up-upscfdc,UP Scheduled Castes Finance & Development Corporation Ltd (UPSCFDC),SCA,"B-2, B-Block, Picup Bhawan Road, Gomti Nagar, Lucknow, Uttar Pradesh – 226010",0522-2720456,upscfdc-lko@nic.in,Uttar Pradesh,Lucknow,,,,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india,available,,
aryavart-lucknow-ho,Aryavart Bank (RRB) — Head Office & Lucknow Main,RRB,"A-2/46, Vijay Khand, Gomti Nagar, Lucknow, Uttar Pradesh – 226010",0522-2398871,credit@aryavart-rrb.com,Uttar Pradesh,Lucknow,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sbi-lucknow-hazratganj,"State Bank of India — Hazratganj Main Branch, Lucknow",PSB,"MG Marg, Hazratganj, Lucknow, Uttar Pradesh – 226001",0522-2287410,sbi.hazratganj@sbi.co.in,Uttar Pradesh,Lucknow,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
bob-lucknow-hazratganj,Bank of Baroda — Hazratganj Commercial Branch,PSB,"Shahnajaf Road, Hazratganj, Lucknow, Uttar Pradesh – 226001",0522-2239010,hazratganj@bankofbaroda.com,Uttar Pradesh,Lucknow,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|mudra-kishore,available,,
prathama-moradabad,Prathama UP Gramin Bank — Head Office & Regional Hub,RRB,"Ram Ganga Vihar Phase-II, Moradabad, Uttar Pradesh – 244001",0591-2455172,credit@prathamaupbank.com,Uttar Pradesh,Moradabad,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha,available,,
sca-tn-tahdco,Tamil Nadu Adi Dravidar Housing and Development Corp (TAHDCO),SCA,"No. 31, Cenotaph Road, Teynampet, Chennai, Tamil Nadu – 600018",044-24344123,tahdco@tn.gov.in,Tamil Nadu,Chennai,,,,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india,available,,
tngb-salem-ho,Tamil Nadu Grama Bank (TNGB) — Head Office & Chennai Hub,RRB,"Yercaud Road, Hasthampatti, Salem & Chennai Regional Hub, Tamil Nadu – 636007",0427-2403000,credit@tngb.co.in,Tamil Nadu,Salem,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
indianbank-chennai-rajaji,"Indian Bank — Rajaji Salai Main Branch, Chennai",PSB,"Corporate Office Building, 254-260 Avvai Shanmugam Salai, Chennai – 600001",044-25221234,chennaimain@indianbank.co.in,Tamil Nadu,Chennai,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
sbi-chennai-georgetown,"State Bank of India — George Town Branch, Chennai",PSB,"Rajaji Salai, George Town, Chennai, Tamil Nadu – 600001",044-25340110,sbi.georgetown@sbi.co.in,Tamil Nadu,Chennai,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india,available,,
canara-chennai-annasalai,Canara Bank — Anna Salai Commercial Branch,PSB,"563, Anna Salai, Teynampet, Chennai, Tamil Nadu – 600018",044-24345560,cbannasalai@canarabank.com,Tamil Nadu,Chennai,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|pm-svanidhi,available,,
